SampleID,X.SampleID,Variety,SMC_perc_GravWaterCont_OutlierRmv,SRL_giaroots_OutlierRmv,PseudoRep,Block,Plot,VarRep,Ecotype,Origin,Y_coord,X_coord,SampleSite,Date,Date_Julian,Variety_ID,Avg_root_width_diam,Network_area,Network_perimeter,SRL_giaroots,Network_surface_area,Network_length,Network_volume,DNARootWetWt_g,EnvWt_g,WetRoot_EnvWt_g,DryRoot_g,WetRootWeight_total_g,DryWetRoot_ratio,DryRootWt_total_g,SRL,SRL_log,SRL_giaroots_log,RLD,RLD_OutlierRmv,pct_water_soil,pctN_soil,pct_Ndfa_sl,sfix_rate_gN_d,fix_rate_ugN_gsoil_d,NO3_ugperG.T0,NH4_ugperG.T0,NO3_ugperG.T7,NH4_ugperG.T7,days,min,nit,pct_water_rt,pctN_roots,pct_Ndfa_rt,rfix_rate_gN_d,fix_rate_ugN_groots_d,Notes_SR,harvest_year,harvest_date,planting_year,moisture_at_harvest_percent,dry_matter_yield_tons_acre,dry_matter_yield_mg_ha,inorg_N_ugperG.T0,SMC_perc_GravWaterCont,SMC_flag,Notes_TMC,fumigated_DOC_concentration_ugC_gsoil,fumigated_TN_concentration_ugN_gsoil,unfumigated_DOC_concentration_ugC_gsoil,unfumigated_TN_concentration_ugN_gsoil,ugC_MicBiomass_g_dry_soil,ugN_MicBiomass_g_dry_soil,MicBiomass_CN_ratio,DOC_TN_ratio,NO3_ugN_g_drysoil_K2SO4,NH4_ugN_g_drysoil_K2SO4,NO3_ugN_g_drysoil_K2SO4_SMCOutRmv,NH4_ugN_g_drysoil_K2SO4_SMCOutRmv,RootSieving_Date,DNAExtraction_Date,DNAextraction_notes
F5,TMCF5,Southlow,9.110629067,751.9556243,2,Two,23,Southlow_2,Upland,Native,8,8,Rhizosphere,20-Jul,202,F,0.033940579,13.04453686,921.773913,751.9556243,47.71996711,447.5391304,0.595166943,0.2508,2.8641,3.7254,0.0718,1.1121,0.083362359,0.09270728,4827.443237,8.482072256,6.622677312,4.558817667,4.558817667,16.35,0.086073075,0.818649518,3.62E-06,0.810859392,1.018225301,3.140855422,0.002997904,0.116812048,7,-0.577038682,-0.145032485,75.04,0.475711119,0.108674173,1.71E-07,0.59422428,soil in bottom of root bag - some maybe not washed well enough…,2016,11/4/2016,2009,0.57,3.6,8.07013,4.159080723,9.110629067,NA,,170.7778542,30.13914097,111.7919976,24.37727527,131.0796813,10.67012166,12.28474103,4.585910294,1.44,1.08,1.44,1.08,1/27/2017,9/28/2016,
F5,TMCSGendoF5,Southlow,9.110629067,751.9556243,2,Two,23,Southlow_2,Upland,Native,8,8,Endosphere,20-Jul,202,F,0.033940579,13.04453686,921.773913,751.9556243,47.71996711,447.5391304,0.595166943,0.2508,2.8641,3.7254,0.0718,1.1121,0.083362359,0.09270728,4827.443237,8.482072256,6.622677312,4.558817667,4.558817667,16.35,0.086073075,0.818649518,3.62E-06,0.810859392,1.018225301,3.140855422,0.002997904,0.116812048,7,-0.577038682,-0.145032485,75.04,0.475711119,0.108674173,1.71E-07,0.59422428,soil in bottom of root bag - some maybe not washed well enough…,2016,42678,2009,0.57,3.6,8.07013,4.159080723,9.110629067,NA,,170.7778542,30.13914097,111.7919976,24.37727527,131.0796813,10.67012166,12.28474103,4.585910294,1.44,1.08,1.44,1.08,1/27/2017,12/18/2017,
G8,TMCG8,Cave-in-Rock,9.492273731,318.1950741,2,Three,28,Cave-in-Rock_3,Upland,Native,5,6,Rhizosphere,20-Jul,202,G,0.045617897,13.00015123,712.4086957,318.1950741,51.13402444,356.8,1.121324713,0.2509,2.4146,3.4901,0.104,1.3264,0.09669921,0.128261832,2781.809641,7.930856945,5.762664635,3.634511562,3.634511562,17.45,0.116776694,0.772887583,4.73E-06,1.038610551,0.006980133,3.880120482,0.054689277,3.357325301,7,-0.067869434,0.006815592,81.92,0.505793115,0.038453792,4.85E-08,0.223559347,,2016,11/4/2016,2009,0.48,4.7,10.536,3.887100614,9.492273731,NA,,99.00305361,21.94953343,81.39290972,18.61885059,39.13365307,6.167931186,6.344696769,4.37153246,1.31,1.12,1.31,1.12,2/2/2017,9/28/2016,
G8,TMCSGendoG8,Cave-in-Rock,9.492273731,318.1950741,2,Three,28,Cave-in-Rock_3,Upland,Native,5,6,Endosphere,20-Jul,202,G,0.045617897,13.00015123,712.4086957,318.1950741,51.13402444,356.8,1.121324713,0.2509,2.4146,3.4901,0.104,1.3264,0.09669921,0.128261832,2781.809641,7.930856945,5.762664635,3.634511562,3.634511562,17.45,0.116776694,0.772887583,4.73E-06,1.038610551,0.006980133,3.880120482,0.054689277,3.357325301,7,-0.067869434,0.006815592,81.92,0.505793115,0.038453792,4.85E-08,0.223559347,,2016,42678,2009,0.48,4.7,10.536,3.887100614,9.492273731,NA,,99.00305361,21.94953343,81.39290972,18.61885059,39.13365307,6.167931186,6.344696769,4.37153246,1.31,1.12,1.31,1.12,2/2/2017,12/18/2017,
J2,TMCJ2,Alamo,6.794055202,282.0155956,2,One,38,Alamo_1,Lowland,Native,11,6,Rhizosphere,27-Jul,209,J,0.043462202,17.45429112,1001.208696,282.0155956,76.23711097,558.3478261,1.979847338,0.2491,2.892,4.4642,0.4407,1.8213,0.280307849,0.510524685,1093.674493,6.9972984,5.641962373,5.68756062,5.68756062,12.87,0.113870673,0.296813496,1.94E-06,0.433312214,1.167712048,1.344972289,1.703168675,0.55546988,7,-0.036292255,0.076493804,78.21,0.542896418,0.018483337,2.66E-08,0.128647918,,2016,11/4/2016,2009,0.42,5.3,11.88102,2.512684337,6.794055202,NA,,131.8968979,27.23376904,74.90726922,8.591166631,126.6436193,34.5233378,3.668348062,8.719103288,1.44,1.12,1.44,1.12,2/17/2017,9/23/2016,
J2,TMCSGendoJ2,Alamo,6.794055202,282.0155956,2,One,38,Alamo_1,Lowland,Native,11,6,Endosphere,27-Jul,209,J,0.043462202,17.45429112,1001.208696,282.0155956,76.23711097,558.3478261,1.979847338,0.2491,2.892,4.4642,0.4407,1.8213,0.280307849,0.510524685,1093.674493,6.9972984,5.641962373,5.68756062,5.68756062,12.87,0.113870673,0.296813496,1.94E-06,0.433312214,1.167712048,1.344972289,1.703168675,0.55546988,7,-0.036292255,0.076493804,78.21,0.542896418,0.018483337,2.66E-08,0.128647918,,2016,42678,2009,0.42,5.3,11.88102,2.512684337,6.794055202,NA,,131.8968979,27.23376904,74.90726922,8.591166631,126.6436193,34.5233378,3.668348062,8.719103288,1.44,1.12,1.44,1.12,2/17/2017,12/18/2017,
L2,TMCL2,EG1102,10.44444444,268.4813599,2,One,46,EG1102_1,Lowland,Bred,11,2,Rhizosphere,27-Jul,209,L,0.048441781,20.90306238,1016.504348,268.4813599,93.84215918,616.6347826,2.296750817,0.247,2.8736,5.8853,0.7761,3.2587,0.25769499,0.839750662,734.3069916,6.598927186,5.592781488,6.281295534,6.281295534,15.15,0.126204988,0.634727503,4.62E-06,1.026997141,1.33516988,3.18986747,6.463463855,11.5210988,7,1.922789329,0.732613425,81.76,0.493421584,0.018932528,2.36E-08,0.119765613,,2016,11/4/2016,2010,0.41,5,11.20851,4.525037349,10.44444444,NA,,160.7679627,32.31290919,90.85982849,11.0137927,155.3514094,39.44280833,3.938649807,8.249640334,1.35,1.17,1.35,1.17,3/24/2017,9/23/2016,
H6,TMCH6,Trailblazer,6.43776824,312.9903551,3,Two,31,Trailblazer_2,Upland,Bred,7,10,Rhizosphere,20-Jul,202,H,0.047819984,11.60982987,583.3304348,312.9903551,43.99152937,292.826087,0.935575433,0.2512,2.8609,3.4086,0.0724,0.7989,0.132189155,0.105605916,2772.818977,7.927619763,5.746172376,2.98284697,2.98284697,15.38,0.084813723,0.943479847,4.07E-06,0.920828977,0.273650602,2.548626506,0.001654157,0,7,-0.402946136,-0.038856635,80.09,0.638418557,0.208910196,3.33E-07,1.533013175,,2016,11/4/2016,2009,0.59,2.9,6.50094,2.822277108,6.43776824,NA,,90.48624848,21.99782133,80.54676446,22.57249284,22.08774227,NA,NA,3.568359287,1.25,1.17,1.25,1.17,3-Mar,9/28/2016,
A11,TMCA11,Blackwell,7.559395248,424.3907424,2,Four,1,Blackwell_4,Upland,Native,2,2,Rhizosphere,28-Jun,180,A,0.041150543,13.40771267,741.9391304,424.3907424,54.35194613,420.426087,0.990658007,0.2546,2.38,3.555,0.3685,1.4296,0.313617021,0.448346894,937.7249915,6.84345672,6.050654593,4.282633055,4.282633055,14.92,0.073073775,0.828594335,3.60E-06,0.849207801,0.933066867,5.017608434,6.396072289,1.489966265,7,0.276480465,0.780429346,70.65,0.472175379,0.020926826,4.39E-08,0.138391201,,2016,11/4/2016,2009,0.54,4,8.96681,5.950675301,7.559395248,NA,,70.12249618,15.06673655,11.83024843,0.764650384,129.5383283,26.48534476,4.890943632,15.47144771,1.01,1.17,1.01,1.17,2/23/2017,9/27/2016,
J9,TMCJ9,Alamo,8.459869848,814.3794385,3,Three,40,Alamo_3,Lowland,Native,4,11,Rhizosphere,27-Jul,209,J,0.030121873,8.247334594,625.6521739,814.3794385,31.38775437,331.6869565,0.40728798,0.2476,2.8679,3.2375,0.0432,0.6172,0.116883117,0.07214026,4597.806519,8.433334625,6.702426398,3.378699771,3.378699771,16.39,0.105114293,0.582021217,3.29E-06,0.784342935,0.605707229,1.854289157,0.137695265,0.6102,7,-0.244585874,-0.066858852,82.48,0.439580483,0.669333024,6.68E-07,3.772124799,,2016,11/4/2016,2009,0.45,3.4,7.62179,2.459996386,8.459869848,NA,,138.722496,24.28961367,58.93776117,10.17805345,177.2994108,26.13251893,6.784627662,5.790671218,1.44,1.2,1.44,1.2,2/17/2017,9/30/2016,
J9,TMCSGendoJ9,Alamo,8.459869848,814.3794385,3,Three,40,Alamo_3,Lowland,Native,4,11,Endosphere,27-Jul,209,J,0.030121873,8.247334594,625.6521739,814.3794385,31.38775437,331.6869565,0.40728798,0.2476,2.8679,3.2375,0.0432,0.6172,0.116883117,0.07214026,4597.806519,8.433334625,6.702426398,3.378699771,3.378699771,16.39,0.105114293,0.582021217,3.29E-06,0.784342935,0.605707229,1.854289157,0.137695265,0.6102,7,-0.244585874,-0.066858852,82.48,0.439580483,0.669333024,6.68E-07,3.772124799,,2016,42678,2009,0.45,3.4,7.62179,2.459996386,8.459869848,NA,,138.722496,24.28961367,58.93776117,10.17805345,177.2994108,26.13251893,6.784627662,5.790671218,1.44,1.2,1.44,1.2,2/17/2017,12/18/2017,
G11,TMCG11,Cave-in-Rock,9.649122807,367.9194395,2,Four,25,Cave-in-Rock_4,Upland,Native,2,3,Rhizosphere,20-Jul,202,G,0.043103318,8.034404537,437.9304348,367.9194395,30.82590127,227.6434783,0.618731858,0.2545,2.412,2.9075,0.0523,0.75,0.10554995,0.079162462,2875.649292,7.964033769,5.907864,2.318870106,2.318870106,15.57,0.094212675,0.597354886,2.85E-06,0.647622577,2.675240964,2.197373494,4.002650602,0.720477108,7,-0.02135525,0.189629948,82.64,0.502289452,0.06995594,8.76E-08,0.403886563,,2016,11/4/2016,2009,0.51,4.2,9.41515,4.872614458,9.649122807,NA,,109.4022742,25.23525699,65.45523441,16.91412921,97.66008851,15.40949589,6.337656287,3.869855409,1.27,1.22,1.27,1.22,2/2/2017,9/28/2016,
G11,TMCSGendoG11,Cave-in-Rock,9.649122807,367.9194395,2,Four,25,Cave-in-Rock_4,Upland,Native,2,3,Endosphere,20-Jul,202,G,0.043103318,8.034404537,437.9304348,367.9194395,30.82590127,227.6434783,0.618731858,0.2545,2.412,2.9075,0.0523,0.75,0.10554995,0.079162462,2875.649292,7.964033769,5.907864,2.318870106,2.318870106,15.57,0.094212675,0.597354886,2.85E-06,0.647622577,2.675240964,2.197373494,4.002650602,0.720477108,7,-0.02135525,0.189629948,82.64,0.502289452,0.06995594,8.76E-08,0.403886563,,2016,42678,2009,0.51,4.2,9.41515,4.872614458,9.649122807,NA,,109.4022742,25.23525699,65.45523441,16.91412921,97.66008851,15.40949589,6.337656287,3.869855409,1.27,1.22,1.27,1.22,2/2/2017,12/18/2017,
B9,TMCB9,Dacotah,3.696098563,576.9910922,3,Three,8,Dacotah_3,Upland,Bred,4,8,Rhizosphere,28-Jun,180,B,0.03572817,8.28657845,544.6521739,576.9910922,33.57637994,299.1391304,0.518446705,0.2531,2.8545,3.2081,0.066,0.6067,0.186651584,0.113241516,2641.603022,7.879141217,6.357826828,3.047154226,3.047154226,14.37,0.111154374,0.348556814,2.34E-06,0.543388702,0.799304819,2.91213253,0.757644578,0.766221687,7,-0.312510155,-0.005951463,77.98,0.626274347,0.367988235,6.68E-07,3.227753388,,2016,11/4/2016,2009,0.67,0.8,1.79336,3.711437349,3.696098563,NA,,57.85503593,9.394837056,21.2491894,3.780080734,81.34632562,10.39769689,7.823494614,5.621358615,0.68,1.23,0.68,1.23,4/10/2017,9/27/2016,
I4,TMCI4,NE28,6.911447084,514.82359,1,Two,35,NE28_2,Upland,Native,9,5,Rhizosphere,20-Jul,202,I,0.036876002,14.72075614,917.1913043,514.82359,60.04725001,518.3217391,1.00679485,0.2614,2.8708,3.9605,0.1825,1.3511,0.167477287,0.226278563,2290.635633,7.736584627,6.243824298,5.279838434,5.279838434,16.72,0.07006982,0.886290909,3.07E-06,0.714640325,2.144277108,1.842036145,0.163781928,0.009067229,7,-0.544780585,-0.282927883,70.5,0.527502798,0.00922722,2.00E-08,0.055946949,,2016,11/4/2016,2009,0.62,2.7,6.0526,3.986313253,6.911447084,NA,,177.0856949,25.46861126,77.94902161,12.89425392,220.3037185,23.28584691,9.460842002,6.045252567,1.41,1.26,1.41,1.26,14-Apr,9/30/2016,
F10,TMCF10,Southlow,7.264957265,661.4954995,1,Four,21,Southlow_4,Upland,Native,3,10,Rhizosphere,20-Jul,202,F,0.035062044,8.736862004,582.6434783,661.4954995,33.30764422,302.3826087,0.457119676,0.2505,2.8662,3.3147,0.0597,0.699,0.133110368,0.093044147,3249.883178,8.08637433,6.49450318,3.08019363,3.08019363,15.91,0.090178203,0.448496994,2.00E-06,0.465416029,3.206204819,3.859698795,5.579204819,0.927144578,7,-0.079936317,0.339,88.24,0.703294697,0.003307976,3.40E-09,0.026741172,,2016,11/4/2016,2009,0.55,4,8.96681,7.065903614,7.264957265,NA,,133.9778315,28.99262532,86.85739436,19.33730175,104.7120825,17.88022884,5.8563055,4.491701866,1.08,1.27,1.08,1.27,1/27/2017,9/28/2016,
F10,TMCSGendoF10,Southlow,7.264957265,661.4954995,1,Four,21,Southlow_4,Upland,Native,3,10,Endosphere,20-Jul,202,F,0.035062044,8.736862004,582.6434783,661.4954995,33.30764422,302.3826087,0.457119676,0.2505,2.8662,3.3147,0.0597,0.699,0.133110368,0.093044147,3249.883178,8.08637433,6.49450318,3.08019363,3.08019363,15.91,0.090178203,0.448496994,2.00E-06,0.465416029,3.206204819,3.859698795,5.579204819,0.927144578,7,-0.079936317,0.339,88.24,0.703294697,0.003307976,3.40E-09,0.026741172,,2016,42678,2009,0.55,4,8.96681,7.065903614,7.264957265,NA,,133.9778315,28.99262532,86.85739436,19.33730175,104.7120825,17.88022884,5.8563055,4.491701866,1.08,1.27,1.08,1.27,1/27/2017,12/18/2017,
F2,TMCF2,Southlow,9.89010989,575.2908841,2,One,22,Southlow_1,Upland,Native,11,12,Rhizosphere,20-Jul,202,F,0.035106322,9.582835539,639.2956522,575.2908841,36.83582156,333.9913043,0.580560745,0.2549,2.919,3.6007,0.0643,0.9366,0.094323016,0.088342937,3780.622611,8.237643987,6.354875798,3.402172805,3.402172805,16.66,0.109590777,0.730951952,4.03E-06,0.921813489,1.46750241,5.652722892,1.053963253,0.684330723,7,-0.768847332,-0.059077022,86.83,0.63789674,0.160127315,1.61E-07,1.17407692,,2016,11/4/2016,2009,0.46,4.1,9.19098,7.120225301,9.89010989,NA,,153.3373496,27.94628903,75.5075976,21.20985438,172.9550044,12.47487898,13.86426311,3.560024329,1.11,1.28,1.11,1.28,1/27/2017,9/20/2016,
F2,TMCSGendoF2,Southlow,9.89010989,575.2908841,2,One,22,Southlow_1,Upland,Native,11,12,Endosphere,20-Jul,202,F,0.035106322,9.582835539,639.2956522,575.2908841,36.83582156,333.9913043,0.580560745,0.2549,2.919,3.6007,0.0643,0.9366,0.094323016,0.088342937,3780.622611,8.237643987,6.354875798,3.402172805,3.402172805,16.66,0.109590777,0.730951952,4.03E-06,0.921813489,1.46750241,5.652722892,1.053963253,0.684330723,7,-0.768847332,-0.059077022,86.83,0.63789674,0.160127315,1.61E-07,1.17407692,,2016,42678,2009,0.46,4.1,9.19098,7.120225301,9.89010989,NA,,153.3373496,27.94628903,75.5075976,21.20985438,172.9550044,12.47487898,13.86426311,3.560024329,1.11,1.28,1.11,1.28,1/27/2017,12/18/2017,
C5,TMCC5,EG2101,5.307855626,532.8054919,2,Two,11,EG2101_2,Upland,Bred,8,9,Rhizosphere,13-Jul,195,C,0.038611629,18.48249527,1156.869565,532.8054919,69.89421841,576.2,1.081445309,0.2505,2.8417,3.8485,0.157,1.2573,0.155939611,0.196062872,2938.853199,7.985774716,6.278156427,5.869410207,5.869410207,15.7,0.0950689,2.169565217,9.04E-06,2.124183098,0.338183133,1.891048193,0.150875422,0.240975904,7,-0.262482857,-0.026758244,75.05,0.421835505,0.116764591,1.30E-07,0.507265191,small chunk of soil clinging to side appears drier than rest of soil,2016,11/4/2016,2010,0.48,4.4,9.86349,2.229231325,5.307855626,NA,Lost this root DNA sample - accidentally dumped in bleach ,159.0776611,28.7460002,78.68115448,12.40890295,178.6589036,30.25388379,5.905321275,6.340701897,0.91,1.28,0.91,1.28,11/12/2017,9/27/2016,
